Gene_acc,Gene_id,A1,A2,A3,A4,A5,B1,B2,B3,B4,B5,Desc
21,Tb927.9.15850,20792.0,18201.0,16113.0,21985.0,18010.0,14952.0,13707.0,11776.0,15338.0,14473.0,hypothetical protein
22,Tb11.v5.0463,333090.0,307510.0,321410.0,331940.0,290410.0,220210.0,275920.0,195880.0,256700.0,259330.0,"expression site-associated gene (ESAG) protein, putative"
23,Tb09.v4.0017,92587.0,78030.0,106720.0,90444.0,94571.0,62320.0,78419.0,56462.0,87671.0,72665.0,"rab1 (small gtp-binding protein rab1, putative)"
24,Tb09.v4.0018,329950.0,335110.0,348920.0,351010.0,342640.0,282400.0,266880.0,239340.0,305450.0,291690.0,"expression site-associated gene 3 (ESAG3) protein, putative"
25,Tb09.v4.0067,93770.0,194390.0,96918.0,121850.0,157830.0,80891.0,126650.0,223820.0,46501.0,41615.0,"retrotransposon hot spot protein, pseudogene"
26,Tb09.v4.0107,200680.0,205090.0,161090.0,203920.0,192840.0,140230.0,173580.0,145620.0,171990.0,135370.0,"expression site-associated gene 5 (ESAG5) protein, putative"
27,Tb09.v4.0109,522340.0,506790.0,573580.0,523330.0,534090.0,327060.0,380390.0,321070.0,390240.0,376800.0,hypothetical protein
28,Tb09.v4.0119,35171.0,36593.0,36505.0,42849.0,31254.0,33446.0,28035.0,20496.0,25932.0,33428.0,"variant surface glycoprotein (VSG, pseudogene), putative"
29,Tb09.v4.0150,79928.0,76149.0,85354.0,70232.0,84289.0,56054.0,89439.0,59788.0,86923.0,65206.0,"variant surface glycoprotein (VSG, pseudogene), putative"
31,Tb10.v4.0033,757550.0,759530.0,799780.0,783210.0,734720.0,549900.0,588430.0,531610.0,626200.0,576570.0,pumillo RNA binding protein PUF1
32,Tb927.10.4440,107880.0,109930.0,113520.0,122130.0,99472.0,77193.0,88569.0,82481.0,76428.0,87159.0,predicted SAP domain protein
33,Tb10.v4.0035,2705700.0,2794300.0,2976500.0,2842400.0,2743900.0,2008400.0,2357800.0,2073900.0,2350100.0,2277000.0,"stress-inducible protein STI1-like, putative"
34,Tb927.10.4460,680550.0,637010.0,672420.0,718110.0,648380.0,510610.0,528520.0,476980.0,550240.0,540200.0,"leucine carboxyl methyltransferase, putative"
35,Tb927.10.4480,82446.0,89951.0,87686.0,91216.0,77870.0,69915.0,74417.0,67066.0,80381.0,81251.0,"DNA damage repair protein, putative"
36,Tb927.10.4490,621510.0,652760.0,620210.0,637080.0,610530.0,454790.0,491780.0,427490.0,503930.0,542250.0,"hypothetical protein, conserved"
37,Tb927.10.4500,545590.0,554150.0,596540.0,529340.0,532950.0,378270.0,394940.0,378310.0,453170.0,420570.0,cap guanine-N7 methyltransferase
38,Tb10.v4.0041,947350.0,970880.0,1040900.0,983680.0,908730.0,714470.0,809460.0,689740.0,820220.0,805760.0,"PUB domain containing protein, putative"
39,Tb927.10.4330,30394.0,37241.0,39530.0,38629.0,35463.0,32269.0,38036.0,29660.0,26707.0,32883.0,"2-oxoisovalerate dehydrogenase beta subunit, mitochondrial precursor, putative"
40,Tb927.10.4320,461800.0,498950.0,503160.0,531220.0,477060.0,326220.0,374560.0,338920.0,363240.0,370250.0,"hypothetical protein, conserved"
41,Tb927.10.4310,2725600.0,2592900.0,2812100.0,2772600.0,2590300.0,2128700.0,2091400.0,1560300.0,2396300.0,2338200.0,"prohibitin 2, putative"
42,Tb10.v4.0052,1494000.0,1469100.0,1617900.0,1580300.0,1405200.0,1076000.0,1242200.0,937860.0,1126100.0,1280100.0,microtubule-associated protein 2
44,Tb10.v4.0107,634710.0,558660.0,709820.0,586630.0,641570.0,478850.0,526300.0,481570.0,438940.0,444880.0,"variant surface glycoprotein (VSG, atypical), putative"
45,Tb10.v4.0132,12971.0,12287.0,13122.0,13082.0,10453.0,10472.0,7637.4,8952.7,10400.0,8446.8,"variant surface glycoprotein (VSG), putative"
46,Tb10.v4.0134,190750.0,469540.0,177250.0,252140.0,377290.0,165230.0,344780.0,632510.0,108270.0,118810.0,"variant surface glycoprotein (VSG), putative"
47,Tb10.v4.0196,48903.0,60343.0,50448.0,47377.0,52687.0,18526.0,24072.0,35330.0,21876.0,19830.0,hypothetical protein
48,Tb10.v4.0217,39241.0,36946.0,39843.0,32516.0,40249.0,34929.0,23793.0,28379.0,29232.0,28996.0,hypothetical protein
49,Tb10.v4.0218,64716.0,67302.0,67255.0,80661.0,78050.0,53199.0,58032.0,58807.0,56023.0,59350.0,"expression site-associated gene 3 (ESAG3) protein, putative"
50,Tb10.v4.0219,81243.0,88677.0,101340.0,89058.0,87161.0,40826.0,48189.0,38268.0,47130.0,44571.0,"retrotransposon hot spot protein (RHS, pseudogene), putative"
51,Tb927.10.6900,256040.0,258900.0,268800.0,264630.0,238340.0,195310.0,205630.0,183160.0,206650.0,221180.0,base J-associated glucosyltransferase
52,Tb927.10.6950,79602.0,66518.0,91428.0,73643.0,84867.0,58121.0,77607.0,52345.0,73561.0,63298.0,"sterol 24-c-methyltransferase, putative"
53,Tb10.v4.0259,15975.0,14857.0,19530.0,18626.0,16550.0,17726.0,9781.1,6711.2,14099.0,11825.0,"Endonuclease-reverse transcriptase, putative"
54,Tb11.v5.0537,7362700.0,7227100.0,7775500.0,7373000.0,7185300.0,5097100.0,6396800.0,4943000.0,6163400.0,5897900.0,"polyubiquitin, putative"
55,Tb11.01.2730,438640.0,450110.0,467820.0,486540.0,437810.0,332470.0,346890.0,326820.0,372210.0,365890.0,"hypothetical protein, conserved"
56,Tb11.01.6241,29626.0,28970.0,33351.0,41369.0,35703.0,27124.0,25217.0,21572.0,30705.0,28221.0,"expression site-associated gene (ESAG) protein, putative"
57,Tb11.01.6250,137800.0,140200.0,134020.0,140400.0,137380.0,105630.0,114420.0,100630.0,109450.0,117970.0,"expression site-associated gene 11 (ESAG11) protein, putative"
58,Tb11.02.5070b,26833.0,30819.0,40146.0,37068.0,38769.0,31730.0,26435.0,33285.0,32325.0,29779.0,"hypothetical protein, conserved"
59,Tb927.11.7213,2344000.0,2394200.0,2400100.0,2538400.0,2187500.0,1682000.0,1876900.0,1709300.0,1836500.0,1862100.0,"Endoplasmic Reticulum-Golgi Intermediate Compartment (ERGIC)/Endoplasmic reticulum vesicle transporter, putative"
60,Tb11.02.5090b,311000.0,312770.0,340130.0,315360.0,314610.0,238860.0,255080.0,193970.0,258980.0,264500.0,"proliferator-activated receptor-interacting protein (PRIP) interacting protein (PIMT), putative, pseudogene"
61,Tb927.11.7214,7114.8,6435.5,7273.1,6442.1,4459.3,6131.3,5617.5,4650.2,4316.4,5219.4,Mitoribosomal SSU assembly factor 13
62,Tb11.02.5105b,36445.0,37844.0,41213.0,35802.0,28775.0,27666.0,26708.0,29200.0,37332.0,34336.0,"hypothetical protein, conserved"
63,Tb927.11.7218,41921.0,46168.0,38943.0,43502.0,39163.0,39080.0,30421.0,30164.0,32064.0,34360.0,mitochondrial edited mRNA stability factor 1 subunit
64,Tb11.02.5360b,203590.0,205890.0,217240.0,226590.0,211740.0,179640.0,201370.0,176480.0,186980.0,179140.0,"hypothetical protein, conserved"
65,Tb11.02.5380b,559460.0,601440.0,635860.0,627980.0,583950.0,475460.0,512800.0,436540.0,519600.0,504940.0,"exosome complex exonuclease RRP44p homologue, putative"
66,Tb11.02.5390b,460700.0,503110.0,500740.0,499310.0,460360.0,395950.0,386390.0,316870.0,403870.0,399950.0,"mRNA processing protein, putative"
67,Tb11.02.5400b,29746.0,31314.0,30388.0,36524.0,34422.0,30447.0,27480.0,28356.0,31505.0,33459.0,"cystathionine beta-synthase, putative"
68,Tb11.02.5410b,52796.0,56031.0,56034.0,53402.0,55239.0,34612.0,40916.0,30087.0,47456.0,40470.0,"ubiquitin activating enzyme, putative"
69,Tb11.02.5420b,652030.0,714740.0,730180.0,715760.0,640200.0,509700.0,562850.0,427490.0,554770.0,572260.0,"NADPH-cytochrome p450 reductase, putative"
70,Tb11.02.5430b,161610.0,165180.0,167440.0,172650.0,160660.0,124670.0,128390.0,123540.0,133170.0,129880.0,"hypothetical protein, conserved"
71,Tb927.6.4980,253670.0,278920.0,270690.0,232270.0,239840.0,152560.0,152500.0,183680.0,195970.0,165920.0,40S ribosomal protein S14
72,Tb11.0320,17956000.0,22908000.0,18606000.0,25076000.0,15737000.0,16468000.0,13595000.0,11051000.0,13767000.0,18359000.0,hypothetical protein
73,Tb927.11.7670,354640.0,334520.0,359030.0,339510.0,315970.0,238230.0,253630.0,247830.0,276200.0,265540.0,"Cornifin (SPRR) family, putative"
74,Tb11.0350,341900.0,355970.0,384930.0,396840.0,355480.0,240340.0,280200.0,251120.0,304110.0,286500.0,hypothetical protein
75,Tb927.10.1130,417710.0,396850.0,476950.0,412980.0,418480.0,271900.0,312490.0,279470.0,375330.0,344790.0,"dynein arm light chain, axonemal, putative"
76,Tb927.10.1140,206910.0,222300.0,231590.0,237630.0,213410.0,139950.0,188140.0,152430.0,180580.0,182340.0,epsilon tubulin
77,Tb927.10.1150,72521.0,72270.0,78092.0,68832.0,66143.0,51153.0,55418.0,40462.0,60126.0,64768.0,"hypothetical protein, conserved"
78,Tb927.10.1160,10556.0,11395.0,10246.0,10380.0,8732.7,6886.4,7099.4,7613.9,8927.5,8820.8,"NADH dehydrogenase (ubiquinone) 1 beta subcomplex subunit, putative"
79,Tb11.0820,37002.0,38365.0,34109.0,39573.0,34277.0,26295.0,25487.0,21887.0,30261.0,30937.0,"retrotransposon hot spot protein 4 (RHS4, pseudogene), putative"
80,Tb927.11.715,2826700.0,2660900.0,2994600.0,3065100.0,2656000.0,1978000.0,2527700.0,1674900.0,2486900.0,2435700.0,"dynein light chain LC8, putative"
81,Tb927.4.1100,23655000.0,19744000.0,25672000.0,22349000.0,21834000.0,14694000.0,15860000.0,10170000.0,19171000.0,16812000.0,"ribosomal protein L21E (60S), putative"
83,Tb11.1000,11741.0,10250.0,8446.5,9810.9,9870.2,6041.1,7930.7,7151.5,8617.7,8457.6,"expression site-associated gene 9 (ESAG9) protein, putative"
84,Tb11.1220,5075500.0,5134600.0,5421300.0,5422100.0,4925200.0,3834600.0,4034700.0,3626400.0,4327800.0,4119300.0,hypothetical protein
85,Tb927.10.15270,1211000.0,1254000.0,1275300.0,1205400.0,1111800.0,941020.0,1035900.0,838290.0,1021100.0,996780.0,"metallo- peptidase, Clan MG, Family M24"
86,Tb11.1370.1-p1,93805.0,107660.0,91757.0,115770.0,106230.0,72568.0,75446.0,67463.0,72785.0,82180.0,"hypothetical protein, conserved"
87,Tb927.11.1840,13867000.0,14057000.0,15088000.0,14579000.0,13128000.0,10042000.0,11173000.0,9568600.0,11121000.0,11019000.0,"hypothetical protein, conserved"
88,Tb11.1780.1-p1,780970.0,855850.0,819380.0,801470.0,796610.0,649090.0,685440.0,711510.0,535600.0,658690.0,"retrotransposon hot spot protein 1 (RHS1, pseudogene), putative"
89,Tb11.1790.1-p1,35919.0,36217.0,41489.0,43244.0,33552.0,27165.0,29980.0,26916.0,30884.0,31901.0,"retrotransposon hot spot protein (RHS, pseudogene), putative"
90,Tb11.1810b.1-p1,21876.0,25150.0,19527.0,21336.0,21668.0,16908.0,25234.0,19916.0,15285.0,17936.0,"retrotransposon hot spot protein (RHS, pseudogene), putative"
91,Tb927.7.4600,242380.0,242810.0,259660.0,266820.0,248640.0,197190.0,218660.0,162100.0,218040.0,228140.0,"Calponin homology (CH) domain containing protein, putative"
92,Tb927.7.4650,176020.0,168490.0,180120.0,170400.0,157540.0,110930.0,127840.0,96069.0,138770.0,140030.0,J Biosynthesis Protein 2
93,Tb927.7.4670,238430.0,241850.0,233020.0,222780.0,217800.0,168850.0,194360.0,144900.0,194110.0,186620.0,ribosomal RNA processing protein 4
94,Tb927.7.4690,503300.0,564150.0,548420.0,580020.0,515670.0,360570.0,423760.0,415770.0,436410.0,464570.0,hypothetical protein
95,Tb11.v5.0154,7077900.0,7223800.0,6974800.0,7752700.0,7163400.0,5116900.0,5800300.0,4992500.0,5684100.0,5711900.0,"WD domain, G-beta repeat, putative"
96,Tb927.7.4720,194190.0,207510.0,195470.0,196020.0,197590.0,128860.0,134240.0,134260.0,173160.0,163130.0,hypothetical protein
97,Tb927.7.4730,13767.0,9822.0,14787.0,15459.0,14038.0,8907.2,9996.9,7022.9,13306.0,11736.0,pumilio/PUF RNA binding protein 5
98,Tb927.7.4740,421910.0,450610.0,458570.0,492380.0,438900.0,306650.0,343090.0,260750.0,338730.0,351740.0,"hypothetical protein, conserved"
99,Tb927.7.4750,366630.0,387640.0,379980.0,438260.0,369970.0,257150.0,308490.0,261820.0,314220.0,308770.0,"hypothetical protein, conserved"
100,Tb927.7.4770,4223500.0,4327700.0,4174200.0,4375900.0,3827700.0,2993700.0,3446900.0,2980800.0,2727500.0,3247000.0,"cyclophilin-type peptidyl-prolyl cis-trans isomerase, putative"
101,Tb927.7.4780,62170.0,71114.0,61197.0,67435.0,57526.0,48516.0,63362.0,38650.0,63877.0,44606.0,"conserved hypothetical protein, putative"
102,Tb927.7.4790,606330.0,555560.0,636890.0,602120.0,538710.0,446290.0,494140.0,336540.0,564620.0,483390.0,proteasome beta 6 subunit
103,Tb927.7.4810,474970.0,519250.0,521860.0,538430.0,489020.0,368920.0,442600.0,368730.0,430810.0,411140.0,"HD domain containing protein, putative"
104,Tb927.7.4820,258080.0,266230.0,245930.0,234500.0,268790.0,194310.0,209390.0,187040.0,210650.0,219720.0,"Trm112p-like protein, putative"
105,Tb927.7.4840,242420.0,248590.0,247570.0,259070.0,252560.0,189800.0,181690.0,179880.0,205700.0,199090.0,"hypothetical protein, conserved"
106,Tb927.7.4860,24563.0,29507.0,27405.0,29272.0,26584.0,18889.0,21121.0,17535.0,22647.0,22595.0,kinetoplastid kinetochore protein 13
107,Tb927.7.4870,579780.0,547890.0,618080.0,618120.0,526770.0,440480.0,435070.0,423370.0,470560.0,494570.0,"hypothetical protein, conserved"
108,Tb927.7.4890,12536.0,11524.0,15697.0,11178.0,12222.0,7581.0,12205.0,8309.8,12842.0,7395.9,Present in the outer mitochondrial membrane proteome 34
109,Tb927.7.4900,2722300.0,2997200.0,2877000.0,2945100.0,2795600.0,1888500.0,2168900.0,1763100.0,2091200.0,2088200.0,5-3 exoribonuclease A
110,Tb927.7.4910,5079000.0,4976900.0,5348100.0,5283000.0,4876000.0,3570300.0,3884000.0,3237800.0,4053500.0,4201000.0,"hypothetical protein, conserved"
111,Tb11.v5.0174,29799.0,36943.0,33068.0,36770.0,30356.0,28057.0,26355.0,28643.0,28255.0,31402.0,"ribonuclease H1, putative"
112,Tb927.7.4940,151310.0,138070.0,162930.0,148760.0,135340.0,121320.0,92661.0,74182.0,122080.0,126900.0,"serine peptidase, clan SC, family S9A-like protein"
113,Tb927.7.4960,257930.0,268160.0,296320.0,297440.0,260080.0,206080.0,228770.0,186550.0,229340.0,227830.0,"hypothetical protein, conserved"
114,Tb927.7.4970,31059.0,32781.0,32687.0,32887.0,31548.0,28676.0,30607.0,25331.0,35257.0,31014.0,"glutamine synthetase, putative"
115,Tb927.7.4980,18044.0,19860.0,16951.0,17942.0,16141.0,15054.0,11298.0,15000.0,13796.0,12639.0,Present in the outer mitochondrial membrane proteome 35
116,Tb927.7.4990,908080.0,960270.0,1025000.0,994030.0,983110.0,756910.0,797810.0,681950.0,790770.0,833070.0,"hypothetical protein, conserved"
117,Tb927.7.5020,51604000.0,53058000.0,54353000.0,54167000.0,52705000.0,38105000.0,42258000.0,37886000.0,41624000.0,43588000.0,"60S ribosomal protein L19, putative"
118,Tb927.7.5030,972720.0,999820.0,1012600.0,1030400.0,898260.0,675010.0,750600.0,618910.0,805090.0,784370.0,"hypothetical protein, conserved"
119,Tb927.7.5040,36595.0,41319.0,41203.0,47809.0,45258.0,31064.0,27193.0,27029.0,31891.0,35655.0,"kinesin, putative"
120,Tb927.7.5050,697840.0,753660.0,711620.0,743520.0,663220.0,493110.0,556630.0,498610.0,512930.0,546210.0,"hypothetical protein, conserved"
121,Tb927.7.5070,85309.0,88667.0,91154.0,85429.0,82115.0,59235.0,73596.0,50886.0,65760.0,75725.0,hypothetical protein
122,Tb927.10.5950,3938500.0,4014300.0,3868500.0,4007800.0,3765100.0,2864600.0,3158000.0,2526000.0,3098700.0,3008000.0,"Serine/threonine-protein kinase NEK17, putative"
123,Tb11.v5.0191,237540.0,265020.0,261220.0,273980.0,248680.0,204990.0,213870.0,180280.0,223090.0,241530.0,"ELMO/CED-12 family, putative"
124,Tb927.10.5970,81339.0,91563.0,100130.0,95019.0,84852.0,65573.0,71525.0,59160.0,80822.0,76740.0,predicted zinc finger protein
125,Tb927.10.5990,1362100.0,1435300.0,1441600.0,1532900.0,1360000.0,1040700.0,1070000.0,966630.0,1093700.0,1195500.0,"Centrosomal protein of 57 kDa, putative"
126,Tb11.v5.0196,6683600.0,6260400.0,7271300.0,6783800.0,6359900.0,4850900.0,5624600.0,4209300.0,5987500.0,5337400.0,"Proteasome subunit A N-terminal signature/Proteasome subunit, putative"
127,Tb927.10.6060,2796300.0,3122800.0,2870400.0,3089300.0,2789700.0,2081800.0,2314200.0,2006100.0,2149500.0,2375800.0,universal minicircle sequence binding protein 2
128,Tb927.10.6080,2106100.0,2395200.0,2169600.0,2499400.0,2132500.0,1802900.0,1906400.0,1643900.0,1739900.0,1882300.0,"proteasome subunit beta type-5, putative"
129,Tb11.v5.0201,66368.0,74325.0,78989.0,70064.0,69634.0,61440.0,64643.0,40411.0,63389.0,65477.0,"tRNA pseudouridine synthase A, putative"
130,Tb927.10.6110,89966.0,87581.0,100690.0,93924.0,96098.0,77938.0,75701.0,67989.0,84716.0,86286.0,"hypothetical protein, conserved"
131,Tb927.10.6120,36408.0,40919.0,47469.0,54079.0,45201.0,32787.0,37610.0,33140.0,41847.0,36345.0,"Peptidase M76 family, putative"
132,Tb927.10.6130,102640.0,108910.0,100600.0,110390.0,100870.0,68322.0,81288.0,69659.0,83135.0,81241.0,"hypothetical protein, conserved"
133,Tb927.5.310,831270.0,657300.0,885880.0,790130.0,751180.0,573160.0,621950.0,452460.0,766440.0,602800.0,"invariant surface glycoprotein, putative"
134,Tb927.5.291b,150170.0,146370.0,155480.0,149250.0,153660.0,107520.0,121410.0,92212.0,133050.0,122890.0,"variant surface glycoprotein (VSG)-related, putative"
135,Tb927.5.295b,5452100.0,5594200.0,5866900.0,5811200.0,5239800.0,4622500.0,5165100.0,4187200.0,5199700.0,5256100.0,retrotransposon hotspot (RHS) protein 1
136,Tb927.5.300b,28921.0,41791.0,36727.0,49055.0,34790.0,41381.0,35446.0,33796.0,32154.0,42640.0,"2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein, putative"
137,Tb927.5.309b,3089700.0,3246300.0,3485300.0,3400100.0,3149600.0,2340700.0,2717800.0,2267000.0,2681700.0,2808100.0,"invariant surface glycoprotein, putative"
138,Tb927.5.500,1104300.0,962320.0,1149700.0,1036800.0,986520.0,754020.0,857540.0,631430.0,930630.0,837590.0,"hypothetical protein, conserved"
139,Tb927.5.490,73919.0,85265.0,82860.0,91916.0,76354.0,61035.0,63309.0,50310.0,62066.0,72703.0,"methyltransferase, putative"
140,Tb927.5.450,285710.0,289650.0,312860.0,288270.0,282180.0,223120.0,245980.0,208360.0,244100.0,247090.0,"NADH dehydrogenase [ubiquinone] flavoprotein 1, mitochondrial"
141,Tb927.5.410,48443.0,56300.0,45588.0,56302.0,48048.0,39173.0,36331.0,37891.0,31890.0,41038.0,"invariant surface glycoprotein, putative"
142,Tb927.5.390,4807300.0,4632600.0,5309400.0,5177000.0,4712800.0,3491500.0,4024300.0,2683000.0,3772500.0,4173500.0,"75 kDa invariant surface glycoprotein, putative"
143,Tb927.5.370,415240.0,380130.0,434460.0,382070.0,409070.0,272950.0,360920.0,261920.0,351900.0,308140.0,"75 kDa invariant surface glycoprotein, putative"
144,Tb927.5.360,15143000.0,15361000.0,15834000.0,16092000.0,14381000.0,10873000.0,12744000.0,10470000.0,12635000.0,12268000.0,75 kDa invariant surface glycoprotein
145,Tb11.v5.0232,992180.0,1013000.0,1079700.0,1042500.0,1018300.0,720440.0,890210.0,817440.0,876470.0,816000.0,"hypothetical protein, conserved"
146,Tb927.10.5240,264330.0,243260.0,268640.0,234700.0,240250.0,181430.0,208570.0,186940.0,215980.0,193190.0,"cAMP binding protein, putative"
147,Tb927.10.5210,120600.0,116290.0,127080.0,130370.0,118180.0,96932.0,95804.0,60694.0,119340.0,105370.0,TFIIH basal transcription factor subunit
148,Tb927.10.5200,137520.0,147710.0,152320.0,150100.0,135290.0,99353.0,114320.0,93200.0,107800.0,111530.0,"hypothetical protein, conserved"
149,Tb927.10.5340,22152000.0,22534000.0,23628000.0,21833000.0,22645000.0,15808000.0,17856000.0,15615000.0,17461000.0,17093000.0,"40S ribosomal protein S18, putative"
150,Tb927.10.5310,421450.0,452990.0,453340.0,477230.0,449060.0,365490.0,406140.0,377350.0,414130.0,407360.0,"AMP-activated kinase, alpha 1"
151,Tb927.10.5300,1243100.0,1211700.0,1366900.0,1350500.0,1182300.0,876490.0,940230.0,680870.0,1009700.0,983820.0,"eukaryotic translation initiation factor 6 (eIF-6), putative"
152,Tb927.10.5280,284580.0,278450.0,297970.0,289100.0,297740.0,206260.0,223820.0,216640.0,237080.0,245580.0,"pre-mRNA splicing factor ATP-dependent RNA helicase, putative"
153,Tb927.10.5270,52951.0,60030.0,56215.0,60956.0,61390.0,46525.0,43477.0,41743.0,41961.0,52678.0,mitogen-activated protein kinase kinase 5
154,Tb927.11.7310,359530.0,350070.0,340810.0,357180.0,341780.0,252550.0,265230.0,217450.0,298580.0,270750.0,"RNA binding protein, putative"
155,Tb927.11.7300,173760.0,172370.0,186110.0,178670.0,158140.0,133360.0,154630.0,121550.0,147270.0,159260.0,"major facilitator superfamily, putative"
156,Tb927.11.7290,2267000.0,2271000.0,2370200.0,2360600.0,2281100.0,1686800.0,1915300.0,1606900.0,1886800.0,1911300.0,"pantothenate kinase subunit, putative"
157,Tb927.11.7280,123850.0,119510.0,126160.0,113910.0,93212.0,79235.0,75512.0,59453.0,86364.0,95645.0,"DNA-direcetd RNA polymerase II, subunit 9, putative"
158,Tb927.11.7270,2735900.0,2450200.0,2918000.0,2718700.0,2418400.0,2010400.0,2132600.0,1473800.0,2259900.0,2330600.0,"proteasome beta 3 subunit, putative"
159,Tb927.11.7250,12092.0,11009.0,13267.0,14995.0,13133.0,10789.0,10053.0,7617.2,11866.0,12520.0,"hypothetical protein, conserved"
160,Tb927.11.7240,1634600.0,1680700.0,1743500.0,1654800.0,1611300.0,1198500.0,1351100.0,1179000.0,1269900.0,1289100.0,nexin-dynein regulatory complex 2
161,Tb927.7.4480,7624000.0,8877400.0,7943600.0,8169900.0,7302300.0,5796400.0,6113900.0,5913900.0,5672300.0,5838600.0,"adenosine 5-monophosphoramidase, putative"
162,Tb927.7.4490,575320.0,616290.0,613530.0,652960.0,616710.0,492200.0,497230.0,437650.0,517780.0,555840.0,"hypothetical protein, conserved"
163,Tb927.7.4500,11739000.0,11588000.0,12405000.0,12642000.0,11190000.0,8424900.0,9374000.0,7976500.0,9551200.0,9507900.0,"PX domain containing protein, putative"
164,Tb927.7.4510,256980.0,246720.0,254290.0,251270.0,239150.0,178510.0,192900.0,148960.0,206290.0,211360.0,"Domain of unknown function (DUF4201), putative"
165,Tb927.7.4520,8159400.0,8694700.0,8780400.0,8922400.0,7845800.0,5782500.0,6450000.0,6252900.0,5963000.0,6400800.0,"Thioredoxin-like, putative"
166,Tb927.7.4540,7780.9,6941.7,6598.0,9073.1,8329.0,4703.2,6311.8,5872.4,5368.0,6860.0,"hypothetical protein, conserved"
167,Tb927.7.4550,921280.0,1116900.0,1011600.0,1104200.0,895890.0,814580.0,888470.0,659440.0,861350.0,976110.0,Mitochondrial ribosomal protein L7/L12
168,Tb927.7.4570,7300100.0,7673300.0,8306900.0,7190500.0,6552300.0,5394300.0,6215500.0,4731400.0,6427400.0,5959800.0,inosine-guanine nucleoside hydrolase
169,Tb927.10.6350,1642000.0,1702300.0,1670900.0,1733600.0,1664400.0,1192100.0,1347800.0,1205700.0,1337300.0,1359800.0,trypanin
170,Tb927.10.6340,94661.0,98369.0,91805.0,99078.0,101850.0,69545.0,66587.0,74012.0,73354.0,77765.0,"hypothetical protein, conserved"
